Ano;CNPJ;Empresa;Substância;Alíquota;Mês Ref;Mês Pagto;Total Operações;CFEM 100%;CFEM 60%;Possível Inconsistência
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;1;3;3.476.362,78;160.942,03;96.565,22;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;1;3;25.323.361,43;897.219,36;538.331,62;
2026;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;1;2;16.444.538,34;580.393,54;348.236,12;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;1;2;58.386.858,73;2.059.479,67;1.235.687,80;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;2;3;23.396.891,89;824.132,12;494.479,27;
2026;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;2;3;19.116.129,59;672.008,42;403.205,05;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;2;3;64.320.280,50;2.298.397,15;1.379.038,29;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;3;4;19.662.563,25;691.148,93;414.689,36;
2026;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;3;4;22.705.764,14;801.774,59;481.064,75;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;3;3;1.532.081,07;69.656,11;41.793,67;SIM - verificar mês pagto
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;4;5;18.400.184,58;646.324,88;387.794,93;
2026;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;4;5;20.263.834,67;713.631,47;428.178,88;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;3;4;63.598.550,55;2.230.623,76;1.338.374,26;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;5;6;17.946.466,31;629.759,45;377.855,67;
2026;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;5;6;20.828.147,47;731.974,00;439.184,40;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;4;5;42.264.206,94;1.485.755,93;891.453,56;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;6;7;16.494.887,19;579.226,21;347.535,73;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;5;6;57.395.463,88;2.016.675,72;1.210.005,43;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;7;8;20.890.954,25;731.183,40;438.710,04;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;6;7;57.932.674,67;2.033.726,54;1.220.235,92;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;8;9;29.559.789,47;1.039.558,68;623.735,21;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;7;8;47.163.444,22;1.653.856,92;992.314,15;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;9;10;36.771.604,58;1.289.322,77;773.593,66;
2026;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;1;2;426.602,50;3.664,74;2.198,84;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;8;9;35.556.172,52;1.246.083,84;747.650,30;
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;10;11;20.203.446,49;708.534,87;425.120,92;
2026;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;2;3;379.534,00;3.261,66;1.957,00;
2024;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;8;3;2.652.231,54;116.551,72;69.931,03;SIM - verificar mês pagto
2025;17227422000105;GERDAU AÇOMINAS S/A;MINÉRIO DE FERRO;3.50%;11;12;11.204.716,27;393.145,48;235.887,29;
2026;17617010000173;ANEX MINERAÇÃO S/A.;FILITO;1.00%;3;4;481.425,50;4.132,47;2.479,48;
